"Tr A(WL),""Tr A(LEVEL)[LOG]"",""Tr B(WL)"",""Tr B(LEVEL)[LOG]"",""Tr C(WL)"",""Tr C(LEVEL)[LOG]"",""Tr D(WL)"",""Tr D(LEVEL)[LOG]"",""Tr E(WL)"",""Tr E(LEVEL)[LOG]"",""Tr F(WL)"",""Tr F(LEVEL)[LOG]"",""Tr G(WL)"",""Tr G(LEVEL)[LOG]"""
 714.2000, -68.576,  714.2000,-210.000,  , ,  , ,  , ,  , ,  , 
 714.4000, -68.632,  714.4000,-210.000,  , ,  , ,  , ,  , ,  , 
 714.6000, -68.633,  714.6000,-210.000,  , ,  , ,  , ,  , ,  , 
 714.8000, -68.600,  714.8000,-210.000,  , ,  , ,  , ,  , ,  , 
 715.0000, -68.601,  715.0000,-210.000,  , ,  , ,  , ,  , ,  , 
 715.2000, -68.577,  715.2000, -91.291,  , ,  , ,  , ,  , ,  , 
 715.4000, -68.557,  715.4000, -89.057,  , ,  , ,  , ,  , ,  , 
 715.6000, -68.617,  715.6000, -92.160,  , ,  , ,  , ,  , ,  , 
 715.8000, -68.596,  715.8000, -91.062,  , ,  , ,  , ,  , ,  , 
 716.0000, -68.566,  716.0000, -89.802,  , ,  , ,  , ,  , ,  , 
 716.2000, -68.597,  716.2000,-100.809,  , ,  , ,  , ,  , ,  , 
 716.4000, -68.559,  716.4000, -90.666,  , ,  , ,  , ,  , ,  , 
 716.6000, -68.481,  716.6000, -86.129,  , ,  , ,  , ,  , ,  , 
 716.8000, -68.491,  716.8000, -85.683,  , ,  , ,  , ,  , ,  , 
 717.0000, -68.520,  717.0000, -90.034,  , ,  , ,  , ,  , ,  , 
 717.2000, -68.500,  717.2000,-210.000,  , ,  , ,  , ,  , ,  , 
 717.4000, -68.513,  717.4000,-210.000,  , ,  , ,  , ,  , ,  , 
 717.6000, -68.531,  717.6000,-210.000,  , ,  , ,  , ,  , ,  , 
 717.8000, -68.588,  717.8000,-210.000,  , ,  , ,  , ,  , ,  , 
 718.0000, -68.615,  718.0000,-210.000,  , ,  , ,  , ,  , ,  , 
 718.2000, -68.606,  718.2000,-210.000,  , ,  , ,  , ,  , ,  , 
 718.4000, -68.642,  718.4000,-210.000,  , ,  , ,  , ,  , ,  , 
