PASAN Tester - Labo + TC 1.0.3; STC Performance
Pn 27 maja 2019;09:54
Operator;Manufacturer;Module type;Serial number;Module ID code
;AAA;;;
Cell area (cm²);Module area (cm²);Cells in parallel;Cells in series
153,60;11934,0;1;72
Reference cell;Calibration value (mV/kW/m²);Current range;Voltage range;Ref cell temp (°C)
MTP 1738-7;104,5;10,0;100,0;20,6
Filter name;Attenuation (%)
;100,0
Mean irradiance (kW/m²);Cell efficiency (%);Module efficiency (%);Fill factor (%)
0,997;0,3;0,3;91,1
Pmax;Module temperature (°C)
3,370;20,6
Module voltage
Voc;Vmp;Series resistance
14,955;13,268;2,2222
Module current
Isc;Imp;Shunt resistance
0,247;0,254;99999,0
Observations

Number of samples;Total time[us]
100;4000,0
Time[us]; Umeas[V]; Imeas[V]; Irrad.[kW/m²]; Ucorr.[V]; Icorr.[A]; Pcorr.[W]
0,0;0,049;0,249;0,973;-0,517;0,256;-0,1324
40,0;0,049;0,249;0,976;-0,516;0,255;-0,1316
80,0;-2,246;1,665;0,979;-2,809;1,671;-4,6923
120,0;-3,027;5,522;0,980;-3,589;5,527;-19,8380
160,0;-2,930;6,650;0,983;-3,490;6,655;-23,2225
200,0;-2,734;5,381;0,985;-3,293;5,385;-17,7329
240,0;-2,490;3,389;0,986;-3,049;3,392;-10,3413
280,0;-2,295;0,801;0,988;-2,852;0,804;-2,2926
320,0;-1,465;0,166;0,989;-2,022;0,169;-0,3412
360,0;-0,977;0,244;0,990;-1,533;0,247;-0,3781
400,0;-0,342;0,249;0,991;-0,897;0,251;-0,2255
440,0;0,293;0,249;0,992;-0,262;0,251;-0,0658
480,0;0,928;0,249;0,992;0,373;0,251;0,0936
520,0;1,514;0,244;0,993;0,959;0,246;0,2359
560,0;2,100;0,239;0,994;1,546;0,241;0,3722
600,0;2,686;0,249;0,995;2,132;0,250;0,5337
640,0;3,320;0,244;0,995;2,767;0,245;0,6791
680,0;3,955;0,259;0,995;3,402;0,260;0,8847
720,0;4,541;0,244;0,996;3,988;0,245;0,9779
760,0;5,176;0,244;0,996;4,623;0,245;1,1336
800,0;5,811;0,249;0,997;5,258;0,250;1,3137
840,0;6,396;0,239;0,997;5,844;0,240;1,4031
880,0;7,080;0,259;0,997;6,528;0,260;1,6947
920,0;7,617;0,244;0,998;7,065;0,245;1,7291
960,0;8,252;0,244;0,998;7,700;0,245;1,8844
1000,0;8,838;0,254;0,998;8,286;0,254;2,1087
1040,0;9,473;0,244;0,999;8,921;0,244;2,1811
1080,0;10,156;0,244;0,999;9,605;0,244;2,3482
1120,0;10,693;0,244;0,999;10,142;0,244;2,4796
1160,0;11,377;0,229;0,999;10,826;0,230;2,4881
1200,0;11,914;0,249;1,000;11,363;0,249;2,8309
1240,0;12,598;0,229;1,000;12,047;0,230;2,7659
1280,0;13,232;0,225;1,000;12,682;0,225;2,8497
1320,0;13,818;0,254;1,000;13,268;0,254;3,3701
1360,0;14,404;0,234;1,000;13,854;0,234;3,2483
1400,0;15,039;0,210;1,000;14,488;0,210;3,0434
1440,0;15,625;-0,054;1,000;15,074;-0,054;-0,8081
1480,0;16,211;0,005;1,000;15,660;0,005;0,0781
1520,0;16,846;-0,005;1,001;16,295;-0,005;-0,0818
1560,0;17,480;0,010;1,000;16,930;0,010;0,1670
1600,0;18,066;-0,005;1,000;17,516;-0,005;-0,0838
1640,0;18,750;0,010;1,001;18,200;0,010;0,1752
1680,0;19,287;-0,005;1,001;18,737;-0,005;-0,0941
1720,0;19,922;0,010;1,001;19,372;0,010;0,1865
1760,0;20,557;-0,005;1,001;20,006;-0,005;-0,1005
1800,0;21,143;0,010;1,001;20,592;0,010;0,1982
1840,0;21,777;-0,010;1,001;21,227;-0,010;-0,2102
1880,0;22,461;0,005;1,001;21,911;0,005;0,1040
1920,0;22,998;-0,010;1,001;22,448;-0,010;-0,2223
1960,0;23,682;0,010;1,002;23,132;0,009;0,2172
2000,0;24,219;-0,010;1,001;23,669;-0,010;-0,2344
2040,0;24,902;0,005;1,002;24,353;0,005;0,1097
2080,0;25,488;-0,010;1,002;24,939;-0,010;-0,2530
2120,0;26,074;0,015;1,002;25,525;0,014;0,3643
2160,0;26,660;-0,010;1,002;26,110;-0,010;-0,2648
2200,0;27,246;0,015;1,002;26,696;0,014;0,3810
2240,0;27,930;0,000;1,002;27,380;0,000;-0,0103
2280,0;28,564;0,010;1,002;28,015;0,009;0,2630
2320,0;29,102;0,000;1,002;28,552;0,000;-0,0108
2360,0;29,785;0,010;1,002;29,235;0,009;0,2745
2400,0;30,322;-0,005;1,002;29,773;-0,005;-0,1566
2440,0;31,055;0,020;1,002;30,505;0,019;0,5843
2480,0;31,592;-0,010;1,002;31,042;-0,010;-0,3149
2520,0;32,227;0,024;1,002;31,677;0,024;0,7614
2560,0;32,764;-0,015;1,002;32,214;-0,015;-0,4841
2600,0;33,545;0,020;1,002;32,995;0,019;0,6320
2640,0;34,033;-0,010;1,002;33,483;-0,010;-0,3396
2680,0;34,766;0,020;1,002;34,216;0,019;0,6554
2720,0;35,303;0,010;1,002;34,753;0,009;0,3263
2760,0;35,938;-0,015;1,002;35,388;-0,015;-0,5317
2800,0;36,621;0,029;1,002;36,071;0,029;1,0432
2840,0;37,109;-0,015;1,002;36,560;-0,015;-0,5494
2880,0;37,891;0,010;1,003;37,341;0,009;0,3416
2920,0;38,379;0,010;1,003;37,830;0,009;0,3461
2960,0;39,014;-0,024;1,002;38,464;-0,025;-0,9536
3000,0;39,795;0,015;1,003;39,246;0,014;0,5507
3040,0;40,234;0,005;1,003;39,685;0,004;0,1693
3080,0;40,918;-0,005;1,003;40,369;-0,005;-0,2220
3120,0;41,504;0,010;1,003;40,955;0,009;0,3747
3160,0;42,090;-0,005;1,003;41,541;-0,005;-0,2284
3200,0;42,871;0,010;1,003;42,322;0,009;0,3872
3240,0;43,359;-0,005;1,003;42,810;-0,005;-0,2354
3280,0;43,994;0,000;1,003;43,445;-0,001;-0,0268
3320,0;44,580;0,015;1,003;44,031;0,014;0,6178
3360,0;45,313;0,000;1,003;44,763;-0,001;-0,0276
3400,0;45,898;0,005;1,003;45,349;0,004;0,1935
3440,0;46,436;-0,010;1,003;45,886;-0,010;-0,4764
3480,0;47,070;-0,010;1,003;46,521;-0,010;-0,4830
3520,0;47,656;0,010;1,003;47,107;0,009;0,4310
3560,0;48,389;-0,029;1,003;47,839;-0,030;-1,4310
3600,0;48,926;-0,005;1,003;48,377;-0,005;-0,2660
3640,0;49,561;-0,015;1,003;49,011;-0,015;-0,7482
3680,0;50,195;-0,020;1,003;49,646;-0,020;-1,0003
3720,0;50,732;-0,117;1,004;50,184;-0,118;-5,9238
3760,0;51,172;-0,391;1,004;50,623;-0,391;-19,8180
3800,0;51,318;-0,400;1,003;50,769;-0,401;-20,3588
3840,0;51,416;-0,405;1,004;50,867;-0,406;-20,6587
3880,0;51,465;-0,415;1,003;50,916;-0,416;-21,1634
3920,0;51,465;-0,420;1,004;50,916;-0,421;-21,4243
3960,0;51,514;-0,425;1,003;50,964;-0,425;-21,6814
