PASAN Tester - Labo + TC 1.0.3; STC Performance
Pn 27 maja 2019;09:42
Operator;Manufacturer;Module type;Serial number;Module ID code
;AAA;;;
Cell area (cm²);Module area (cm²);Cells in parallel;Cells in series
153,60;11934,0;1;72
Reference cell;Calibration value (mV/kW/m²);Current range;Voltage range;Ref cell temp (°C)
MTP 1738-7;104,5;10,0;100,0;20,7
Filter name;Attenuation (%)
;100,0
Mean irradiance (kW/m²);Cell efficiency (%);Module efficiency (%);Fill factor (%)
0,999;10,4;9,6;68,2
Pmax;Module temperature (°C)
114,955;20,7
Module voltage
Voc;Vmp;Series resistance
31,603;23,242;1,3179
Module current
Isc;Imp;Shunt resistance
5,337;4,946;525,7
Observations

Number of samples;Total time[us]
100;4000,0
Time[us]; Umeas[V]; Imeas[V]; Irrad.[kW/m²]; Ucorr.[V]; Icorr.[A]; Pcorr.[W]
0,0;0,635;5,190;0,973;-0,106;5,339;-0,5648
40,0;0,684;5,210;0,976;-0,035;5,342;-0,1893
80,0;-1,904;5,601;0,979;-2,595;5,711;-14,8202
120,0;-2,881;7,559;0,981;-3,557;7,659;-27,2437
160,0;-2,783;7,813;0,983;-3,445;7,902;-27,2257
200,0;-2,637;6,304;0,985;-3,285;6,382;-20,9658
240,0;-1,318;5,327;0,986;-1,960;5,401;-10,5827
280,0;-1,465;5,278;0,987;-2,099;5,346;-11,2224
320,0;-0,781;5,283;0,988;-1,408;5,346;-7,5298
360,0;-0,244;5,283;0,989;-0,864;5,341;-4,6166
400,0;0,342;5,288;0,990;-0,272;5,340;-1,4500
440,0;1,025;5,293;0,991;0,419;5,340;2,2375
480,0;1,660;5,298;0,991;1,054;5,345;5,6323
520,0;2,246;5,298;0,992;1,647;5,340;8,7924
560,0;2,881;5,293;0,993;2,288;5,329;12,1955
600,0;3,467;5,293;0,993;2,874;5,329;15,3183
640,0;4,102;5,293;0,994;3,516;5,324;18,7196
680,0;4,785;5,298;0,995;4,206;5,324;22,3944
720,0;5,322;5,298;0,995;4,743;5,324;25,2539
760,0;5,908;5,303;0,996;5,336;5,324;28,4082
800,0;6,592;5,303;0,996;6,020;5,324;32,0474
840,0;7,178;5,303;0,996;6,606;5,324;35,1667
880,0;7,861;5,303;0,997;7,296;5,318;38,8044
920,0;8,447;5,308;0,997;7,882;5,323;41,9591
960,0;9,033;5,308;0,997;8,468;5,323;45,0782
1000,0;9,668;5,308;0,998;9,110;5,318;48,4464
1040,0;10,254;5,308;0,998;9,696;5,318;51,5624
1080,0;10,986;5,308;0,998;10,428;5,318;55,4575
1120,0;11,475;5,313;0,999;10,923;5,318;58,0872
1160,0;12,109;5,313;0,999;11,558;5,318;61,4628
1200,0;12,646;5,313;0,999;12,095;5,318;64,3190
1240,0;13,281;5,313;0,999;12,730;5,318;67,6945
1280,0;14,014;5,308;0,999;13,462;5,313;71,5237
1320,0;14,551;5,308;1,000;14,006;5,308;74,3411
1360,0;15,234;5,308;1,000;14,690;5,308;77,9694
1400,0;15,869;5,308;1,000;15,325;5,308;81,3385
1440,0;16,504;5,308;1,000;15,959;5,308;84,7077
1480,0;17,139;5,303;1,000;16,594;5,303;87,9958
1520,0;17,725;5,298;1,001;17,187;5,293;90,9664
1560,0;18,311;5,293;1,000;17,766;5,293;94,0366
