PASAN Tester - Labo + TC 1.0.3; STC Performance
Pn 27 maja 2019;09:40
Operator;Manufacturer;Module type;Serial number;Module ID code
;AAA;;;
Cell area (cm²);Module area (cm²);Cells in parallel;Cells in series
153,60;11934,0;1;72
Reference cell;Calibration value (mV/kW/m²);Current range;Voltage range;Ref cell temp (°C)
MTP 1738-7;104,5;10,0;100,0;20,7
Filter name;Attenuation (%)
;100,0
Mean irradiance (kW/m²);Cell efficiency (%);Module efficiency (%);Fill factor (%)
0,999;4,3;3,9;37,2
Pmax;Module temperature (°C)
47,041;20,7
Module voltage
Voc;Vmp;Series resistance
23,819;9,576;6,5263
Module current
Isc;Imp;Shunt resistance
5,314;4,912;168,8
Observations

Number of samples;Total time[us]
100;4000,0
Time[us]; Umeas[V]; Imeas[V]; Irrad.[kW/m²]; Ucorr.[V]; Icorr.[A]; Pcorr.[W]
0,0;0,635;5,166;0,973;-0,927;5,314;-4,9250
40,0;0,635;5,181;0,976;-0,815;5,312;-4,3305
80,0;-2,002;5,459;0,979;-3,341;5,575;-18,6244
120,0;-2,930;7,324;0,980;-4,195;7,429;-31,1656
160,0;-2,881;7,568;0,982;-4,073;7,663;-31,2091
200,0;-2,686;6,045;0,984;-3,805;6,129;-23,3165
240,0;-2,539;5,190;0,985;-3,622;5,269;-19,0818
280,0;-1,416;5,244;0,986;-2,462;5,317;-13,0925
320,0;-0,781;5,254;0,988;-1,755;5,316;-9,3308
360,0;-0,244;5,259;0,989;-1,182;5,316;-6,2829
400,0;0,342;5,259;0,990;-0,560;5,311;-2,9734
440,0;0,977;5,264;0,991;0,111;5,310;0,5887
480,0;1,660;5,264;0,991;0,794;5,310;4,2188
520,0;2,197;5,269;0,992;1,367;5,310;7,2613
560,0;2,832;5,264;0,993;2,038;5,300;10,8017
600,0;3,467;5,264;0,994;2,709;5,295;14,3413
640,0;4,053;5,264;0,994;3,295;5,295;17,4438
680,0;4,785;5,264;0,995;4,063;5,290;21,4897
720,0;5,322;5,264;0,996;4,635;5,284;24,4951
760,0;5,908;5,264;0,996;5,221;5,284;27,5915
800,0;6,543;5,259;0,997;5,892;5,274;31,0744
840,0;7,129;5,259;0,997;6,478;5,274;34,1649
880,0;7,861;5,249;0,997;7,210;5,265;37,9575
920,0;8,398;5,249;0,998;7,783;5,259;40,9318
960,0;8,984;5,225;0,998;8,369;5,235;43,8092
1000,0;9,619;5,156;0,998;9,003;5,167;46,5167
1040,0;10,156;4,907;0,999;9,576;4,912;47,0408
1080,0;10,791;4,492;0,999;10,211;4,497;45,9213
1120,0;11,279;4,180;0,999;10,699;4,185;44,7739
1160,0;11,816;3,604;1,000;11,271;3,604;40,6174
1200,0;12,354;3,086;1,000;11,808;3,086;36,4412
1240,0;12,842;2,334;1,000;12,297;2,334;28,7015
1280,0;13,379;1,440;1,000;12,834;1,441;18,4875
1320,0;13,867;0,840;1,000;13,322;0,840;11,1898
1360,0;14,404;0,093;1,000;13,859;0,093;1,2872
1400,0;15,039;0,010;1,000;14,494;0,010;0,1430
1440,0;15,625;0,039;1,000;15,080;0,039;0,5906
1480,0;16,260;0,039;1,000;15,715;0,039;0,6154
1520,0;16,846;0,029;1,001;16,336;0,024;0,3964
1560,0;17,480;0,034;1,001;16,971;0,029;0,4946
1600,0;18,066;0,029;1,001;17,557;0,024;0,4260
1640,0;18,799;0,039;1,001;18,289;0,034;0,6223
1680,0;19,287;0,034;1,001;18,777;0,029;0,5473
1720,0;19,922;0,029;1,001;19,412;0,024;0,4710
1760,0;20,605;0,029;1,001;20,096;0,024;0,4876
1800,0;21,143;0,029;1,001;20,633;0,024;0,5006
1840,0;21,826;0,034;1,001;21,316;0,029;0,6213
1880,0;22,412;0,029;1,001;21,902;0,024;0,5314
1920,0;23,047;0,034;1,001;22,537;0,029;0,6569
1960,0;23,633;0,029;1,001;23,123;0,024;0,5610
2000,0;24,219;0,029;1,001;23,709;0,024;0,5752
2040,0;25,000;0,034;1,001;24,490;0,029;0,7138
2080,0;25,488;0,034;1,002;25,014;0,024;0,6009
2120,0;26,123;0,024;1,002;25,648;0,014;0,3656
2160,0;26,709;0,024;1,002;26,234;0,014;0,3740
2200,0;27,344;0,024;1,002;26,869;0,014;0,3830
2240,0;28,027;0,015;1,002;27,553;0,004;0,1237
2280,0;28,516;0,020;1,002;28,041;0,009;0,2628
