PASAN Tester - Labo + TC 1.0.3; STC Performance
Pn 27 maja 2019;09:34
Operator;Manufacturer;Module type;Serial number;Module ID code
;AAA;;;
Cell area (cm²);Module area (cm²);Cells in parallel;Cells in series
153,60;11934,0;1;72
Reference cell;Calibration value (mV/kW/m²);Current range;Voltage range;Ref cell temp (°C)
MTP 1738-7;104,5;10,0;100,0;20,6
Filter name;Attenuation (%)
;100,0
Mean irradiance (kW/m²);Cell efficiency (%);Module efficiency (%);Fill factor (%)
1,000;16,6;15,4;70,1
Pmax;Module temperature (°C)
183,537;20,6
Module voltage
Voc;Vmp;Series resistance
49,109;37,405;1,5627
Module current
Isc;Imp;Shunt resistance
5,328;4,907;943,3
Observations

Number of samples;Total time[us]
100;4000,0
Time[us]; Umeas[V]; Imeas[V]; Irrad.[kW/m²]; Ucorr.[V]; Icorr.[A]; Pcorr.[W]
0,0;0,684;5,186;0,973;-0,100;5,334;-0,5312
40,0;0,732;5,210;0,976;-0,025;5,342;-0,1348
80,0;-1,855;5,688;0,979;-2,588;5,805;-15,0212
120,0;-2,832;7,588;0,980;-3,547;7,693;-27,2921
160,0;-2,783;7,803;0,983;-3,474;7,892;-27,4136
200,0;-2,588;6,382;0,985;-3,262;6,461;-21,0715
240,0;-2,100;4,922;0,986;-2,765;4,995;-13,8118
280,0;-1,416;5,273;0,987;-2,073;5,342;-11,0734
320,0;-0,781;5,278;0,988;-1,430;5,341;-7,6379
360,0;-0,244;5,283;0,989;-0,885;5,341;-4,7247
400,0;0,342;5,288;0,991;-0,282;5,335;-1,5057
440,0;1,025;5,293;0,991;0,401;5,340;2,1433
480,0;1,660;5,298;0,992;1,044;5,340;5,5764
520,0;2,246;5,293;0,993;1,638;5,329;8,7322
560,0;2,881;5,293;0,994;2,281;5,324;12,1468
600,0;3,467;5,298;0,994;2,867;5,329;15,2805
640,0;4,053;5,298;0,995;3,461;5,324;18,4285
680,0;4,834;5,298;0,996;4,251;5,319;22,6090
720,0;5,322;5,298;0,996;4,739;5,319;25,2060
760,0;5,957;5,298;0,996;5,374;5,319;28,5822
800,0;6,592;5,303;0,997;6,017;5,318;31,9996
840,0;7,178;5,303;0,997;6,603;5,318;35,1159
880,0;7,861;5,303;0,998;7,294;5,313;38,7568
920,0;8,398;5,303;0,998;7,832;5,313;41,6105
960,0;9,033;5,308;0,998;8,466;5,318;45,0245
1000,0;9,668;5,308;0,998;9,101;5,318;48,4002
1040,0;10,254;5,308;0,999;9,695;5,313;51,5091
1080,0;10,986;5,308;0,999;10,428;5,313;55,4004
1120,0;11,523;5,308;0,999;10,965;5,313;58,2540
1160,0;12,109;5,313;0,999;11,551;5,318;61,4234
1200,0;12,646;5,313;0,999;12,088;5,318;64,2796
1240,0;13,281;5,313;1,000;12,731;5,313;67,6323
1280,0;14,063;5,317;1,000;13,512;5,317;71,8488
1320,0;14,600;5,313;1,000;14,049;5,313;74,6362
1360,0;15,283;5,317;1,000;14,732;5,317;78,3398
1400,0;15,869;5,317;1,000;15,318;5,317;81,4555
1440,0;16,504;5,317;1,000;15,953;5,317;84,8309
1480,0;17,139;5,317;1,001;16,596;5,312;88,1635
1520,0;17,725;5,313;1,000;17,174;5,313;91,2381
1560,0;18,359;5,317;1,001;17,817;5,312;94,6482
1600,0;18,945;5,313;1,001;18,403;5,307;97,6711
1640,0;19,580;5,313;1,001;19,037;5,307;101,0400
1680,0;20,215;5,317;1,001;19,672;5,312;104,5051
1720,0;20,801;5,313;1,001;20,258;5,307;107,5189
1760,0;21,436;5,313;1,001;20,893;5,307;110,8878
1800,0;22,021;5,313;1,001;21,479;5,307;113,9977
1840,0;22,705;5,313;1,001;22,162;5,307;117,6258
1880,0;23,291;5,313;1,001;22,748;5,307;120,7356
1920,0;23,877;5,313;1,001;23,334;5,307;123,8454
1960,0;24,463;5,313;1,001;23,920;5,307;126,9553
2000,0;25,049;5,313;1,001;24,506;5,307;130,0651
2040,0;25,732;5,308;1,002;25,198;5,297;133,4831
2080,0;26,318;5,308;1,002;25,784;5,297;136,5870
2120,0;26,904;5,308;1,002;26,370;5,297;139,6910
2160,0;27,490;5,308;1,002;26,956;5,297;142,7949
2200,0;28,174;5,308;1,002;27,639;5,297;146,4162
2240,0;28,857;5,303;1,002;28,323;5,293;149,8992
2280,0;29,395;5,298;1,002;28,860;5,288;152,6009
2320,0;30,029;5,293;1,002;29,495;5,283;155,8133
