PASAN Tester - Labo + TC 1.0.3; STC Performance
Pn 27 maja 2019;09:41
Operator;Manufacturer;Module type;Serial number;Module ID code
;AAA;;;
Cell area (cm²);Module area (cm²);Cells in parallel;Cells in series
153,60;11934,0;1;72
Reference cell;Calibration value (mV/kW/m²);Current range;Voltage range;Ref cell temp (°C)
MTP 1738-7;104,5;10,0;100,0;20,7
Filter name;Attenuation (%)
;100,0
Mean irradiance (kW/m²);Cell efficiency (%);Module efficiency (%);Fill factor (%)
0,999;10,4;9,7;67,8
Pmax;Module temperature (°C)
115,221;20,7
Module voltage
Voc;Vmp;Series resistance
31,862;23,249;1,5018
Module current
Isc;Imp;Shunt resistance
5,334;4,956;441,9
Observations

Number of samples;Total time[us]
100;4000,0
Time[us]; Umeas[V]; Imeas[V]; Irrad.[kW/m²]; Ucorr.[V]; Icorr.[A]; Pcorr.[W]
0,0;0,635;5,190;0,973;-0,339;5,339;-1,8083
40,0;0,684;5,215;0,976;-0,243;5,347;-1,2981
80,0;-1,904;5,596;0,979;-2,784;5,712;-15,9012
120,0;-2,881;7,544;0,980;-3,729;7,649;-28,5275
160,0;-2,783;7,773;0,983;-3,585;7,863;-28,1912
200,0;-2,637;6,270;0,985;-3,408;6,348;-21,6358
240,0;-1,465;5,332;0,986;-2,221;5,405;-12,0052
280,0;-1,416;5,273;0,987;-2,157;5,342;-11,5208
320,0;-0,781;5,278;0,988;-1,507;5,341;-8,0480
360,0;-0,244;5,283;0,989;-0,954;5,341;-5,0975
400,0;0,342;5,288;0,990;-0,353;5,340;-1,8868
440,0;0,977;5,293;0,991;0,297;5,340;1,5839
480,0;1,660;5,293;0,992;0,995;5,335;5,3099
520,0;2,246;5,288;0,992;1,581;5,330;8,4280
560,0;2,881;5,293;0,993;2,231;5,329;11,8910
600,0;3,467;5,293;0,994;2,832;5,324;15,0793
640,0;4,053;5,298;0,994;3,418;5,329;18,2156
680,0;4,736;5,298;0,995;4,117;5,324;21,9173
720,0;5,322;5,298;0,996;4,718;5,319;25,0922
760,0;5,957;5,298;0,996;5,353;5,319;28,4683
800,0;6,592;5,298;0,996;5,987;5,319;31,8445
840,0;7,129;5,303;0,997;6,539;5,318;34,7789
