PASAN Tester - Labo + TC 1.0.3; STC Performance
Pn 27 maja 2019;09:41
Operator;Manufacturer;Module type;Serial number;Module ID code
;AAA;;;
Cell area (cm²);Module area (cm²);Cells in parallel;Cells in series
153,60;11934,0;1;72
Reference cell;Calibration value (mV/kW/m²);Current range;Voltage range;Ref cell temp (°C)
MTP 1738-7;104,5;10,0;100,0;20,7
Filter name;Attenuation (%)
;100,0
Mean irradiance (kW/m²);Cell efficiency (%);Module efficiency (%);Fill factor (%)
1,001;10,4;9,7;54,4
Pmax;Module temperature (°C)
115,242;20,7
Module voltage
Voc;Vmp;Series resistance
39,685;23,278;6,8241
Module current
Isc;Imp;Shunt resistance
5,337;4,951;399,0
Observations

Number of samples;Total time[us]
100;4000,0
Time[us]; Umeas[V]; Imeas[V]; Irrad.[kW/m²]; Ucorr.[V]; Icorr.[A]; Pcorr.[W]
0,0;0,635;5,195;0,973;-1,153;5,344;-6,1609
40,0;0,684;5,220;0,976;-0,967;5,352;-5,1750
80,0;-1,904;5,601;0,979;-3,418;5,717;-19,5430
120,0;-2,881;7,559;0,981;-4,260;7,659;-32,6229
160,0;-2,832;7,803;0,983;-4,121;7,892;-32,5226
200,0;-2,637;6,294;0,985;-3,836;6,373;-24,4461
240,0;-1,367;5,327;0,987;-2,477;5,395;-13,3661
280,0;-1,416;5,273;0,987;-2,526;5,342;-13,4938
320,0;-0,781;5,283;0,988;-1,847;5,346;-9,8740
360,0;-0,244;5,288;0,989;-1,266;5,346;-6,7650
400,0;0,391;5,288;0,990;-0,586;5,340;-3,1320
440,0;0,977;5,293;0,991;0,044;5,340;0,2331
480,0;1,660;5,298;0,991;0,727;5,345;3,8870
520,0;2,246;5,298;0,992;1,357;5,340;7,2473
560,0;2,832;5,293;0,993;1,987;5,329;10,5909
600,0;3,467;5,293;0,994;2,666;5,324;14,1940
640,0;4,053;5,298;0,994;3,252;5,329;17,3295
680,0;4,785;5,298;0,995;4,028;5,324;21,4453
720,0;5,322;5,298;0,996;4,609;5,319;24,5137
760,0;5,957;5,298;0,996;5,244;5,319;27,8899
800,0;6,592;5,303;0,996;5,878;5,324;31,2947
840,0;7,129;5,303;0,997;6,459;5,318;34,3529
880,0;7,861;5,303;0,997;7,192;5,318;38,2482
920,0;8,447;5,303;0,997;7,778;5,318;41,3644
960,0;9,082;5,303;0,998;8,456;5,313;44,9282
1000,0;9,668;5,303;0,998;9,042;5,313;48,0414
1040,0;10,303;5,303;0,998;9,677;5,313;51,4140
1080,0;10,938;5,308;0,999;10,355;5,313;55,0147
1120,0;11,523;5,308;0,999;10,941;5,313;58,1277
1160,0;12,109;5,308;0,999;11,527;5,313;61,2407
1200,0;12,695;5,308;1,000;12,156;5,308;64,5215
1240,0;13,330;5,303;1,000;12,791;5,303;67,8282
1280,0;14,063;5,303;1,000;13,523;5,303;71,7121
1320,0;14,600;5,303;1,000;14,060;5,303;74,5603
1360,0;15,234;5,298;1,000;14,695;5,298;77,8546
1400,0;15,869;5,298;1,000;15,330;5,298;81,2176
1440,0;16,455;5,293;1,000;15,916;5,293;84,2441
1480,0;17,139;5,293;1,001;16,643;5,288;88,0058
1520,0;17,725;5,288;1,001;17,229;5,283;91,0201
1560,0;18,359;5,283;1,001;17,864;5,278;94,2864
1600,0;18,896;5,278;1,001;18,401;5,273;97,0314
1640,0;19,580;5,278;1,001;19,084;5,273;100,6362
1680,0;20,166;5,269;1,001;19,670;5,263;103,5339
1720,0;20,752;5,259;1,001;20,256;5,254;106,4202
1760,0;21,387;5,239;1,001;20,891;5,234;109,3470
1800,0;21,973;5,205;1,001;21,477;5,200;111,6799
1840,0;22,607;5,146;1,001;22,112;5,141;113,6851
1880,0;23,193;5,049;1,002;22,741;5,039;114,5820
1920,0;23,730;4,961;1,002;23,278;4,951;115,2424
1960,0;24,316;4,785;1,002;23,864;4,775;113,9484
2000,0;24,902;4,634;1,002;24,450;4,624;113,0453
2040,0;25,537;4,351;1,002;25,085;4,340;108,8762
2080,0;26,074;4,180;1,002;25,622;4,169;106,8287
2120,0;26,660;3,867;1,002;26,208;3,857;101,0819
2160,0;27,197;3,599;1,002;26,745;3,588;95,9711
2200,0;27,783;3,208;1,002;27,331;3,198;87,3977
2240,0;28,418;2,754;1,002;27,965;2,744;76,7284
2280,0;28,906;2,461;1,002;28,454;2,451;69,7320
2320,0;29,492;2,036;1,002;29,040;2,026;58,8318
2360,0;30,029;1,631;1,002;29,577;1,621;47,9333
2400,0;30,615;1,089;1,002;30,163;1,079;32,5350
2440,0;31,104;0,669;1,002;30,651;0,659;20,1907
2480,0;31,641;0,229;1,002;31,188;0,219;6,8388
2520,0;32,324;0,127;1,002;31,872;0,117;3,7206
2560,0;32,861;0,039;1,002;32,409;0,029;0,9349
2600,0;33,545;0,049;1,002;33,092;0,039;1,2778
2640,0;34,082;0,034;1,002;33,629;0,024;0,8059
2680,0;34,766;0,039;1,002;34,313;0,029;0,9898
2720,0;35,400;0,049;1,002;34,948;0,039;1,3494
2760,0;35,938;0,029;1,003;35,528;0,014;0,4952
2800,0;36,621;0,044;1,003;36,212;0,029;1,0352
2840,0;37,207;0,034;1,003;36,798;0,019;0,6926
2880,0;37,891;0,034;1,003;37,481;0,019;0,7055
2920,0;38,477;0,039;1,003;38,067;0,024;0,9024
2960,0;39,063;0,029;1,003;38,653;0,014;0,5388
3000,0;39,697;0,039;1,003;39,288;0,024;0,9313
3040,0;40,234;0,034;1,003;39,825;0,019;0,7496
3080,0;40,967;0,029;1,003;40,557;0,014;0,5653
3120,0;41,455;0,034;1,003;41,046;0,019;0,7726
3160,0;42,139;0,029;1,003;41,729;0,014;0,5817
3200,0;42,822;0,024;1,003;42,413;0,009;0,3841
3240,0;43,311;0,034;1,003;42,901;0,019;0,8075
3280,0;43,994;0,024;1,003;43,585;0,009;0,3947
3320,0;44,580;0,039;1,003;44,171;0,024;1,0470
3360,0;45,313;0,024;1,003;44,903;0,009;0,4067
3400,0;45,850;0,034;1,003;45,440;0,019;0,8553
3440,0;46,436;0,039;1,003;46,026;0,024;1,0910
3480,0;47,070;0,024;1,003;46,661;0,009;0,4226
3520,0;47,656;0,044;1,003;47,247;0,029;1,3507
3560,0;48,340;0,020;1,004;47,973;-0,001;-0,0460
3600,0;48,926;0,029;1,004;48,559;0,009;0,4277
3640,0;49,561;0,029;1,003;49,151;0,014;0,6851
3680,0;50,195;0,044;1,003;49,786;0,029;1,4233
3720,0;50,781;0,034;1,004;50,415;0,014;0,6902
3760,0;51,416;0,000;1,004;51,050;-0,020;-1,0460
3800,0;51,904;-0,376;1,004;51,538;-0,396;-20,4331
3840,0;52,002;-0,400;1,004;51,636;-0,421;-21,7324
3880,0;52,051;-0,405;1,004;51,684;-0,426;-22,0053
3920,0;52,100;-0,415;1,004;51,733;-0,436;-22,5313
3960,0;52,100;-0,420;1,004;51,733;-0,440;-22,7840
