PASAN Tester - Labo + TC 1.0.3; STC Performance
Pn 27 maja 2019;09:39
Operator;Manufacturer;Module type;Serial number;Module ID code
;AAA;;;
Cell area (cm²);Module area (cm²);Cells in parallel;Cells in series
153,60;11934,0;1;72
Reference cell;Calibration value (mV/kW/m²);Current range;Voltage range;Ref cell temp (°C)
MTP 1738-7;104,5;10,0;100,0;20,7
Filter name;Attenuation (%)
;100,0
Mean irradiance (kW/m²);Cell efficiency (%);Module efficiency (%);Fill factor (%)
1,001;4,2;3,9;28,4
Pmax;Module temperature (°C)
46,382;20,7
Module voltage
Voc;Vmp;Series resistance
30,796;9,556;14,3573
Module current
Isc;Imp;Shunt resistance
5,312;4,854;280,0
Observations

Number of samples;Total time[us]
100;4000,0
Time[us]; Umeas[V]; Imeas[V]; Irrad.[kW/m²]; Ucorr.[V]; Icorr.[A]; Pcorr.[W]
0,0;0,635;5,171;0,973;-2,876;5,319;-15,3001
40,0;0,684;5,186;0,976;-2,502;5,318;-13,3043
80,0;-1,953;5,454;0,978;-4,923;5,575;-27,4457
120,0;-2,930;7,271;0,980;-5,577;7,376;-41,1331
160,0;-2,832;7,500;0,982;-5,265;7,594;-39,9878
200,0;-2,686;5,972;0,985;-4,800;6,050;-29,0392
240,0;-2,246;5,205;0,986;-4,254;5,278;-22,4555
280,0;-1,416;5,259;0,987;-3,319;5,327;-17,6766
320,0;-0,781;5,264;0,989;-2,473;5,321;-13,1580
360,0;-0,195;5,269;0,990;-1,782;5,321;-9,4802
400,0;0,342;5,273;0,991;-1,140;5,320;-6,0637
440,0;0,977;5,273;0,992;-0,400;5,315;-2,1274
480,0;1,660;5,269;0,992;0,283;5,310;1,5046
520,0;2,246;5,269;0,993;0,974;5,305;5,1659
560,0;2,881;5,273;0,993;1,609;5,310;8,5411
600,0;3,516;5,273;0,994;2,348;5,305;12,4532
640,0;4,053;5,273;0,995;2,989;5,299;15,8390
680,0;4,785;5,273;0,995;3,721;5,299;19,7204
720,0;5,322;5,273;0,996;4,362;5,294;23,0948
760,0;5,908;5,273;0,996;4,948;5,294;26,1968
800,0;6,592;5,269;0,997;5,735;5,284;30,3072
840,0;7,129;5,269;0,997;6,273;5,284;33,1453
880,0;7,910;5,264;0,997;7,054;5,279;37,2391
920,0;8,447;5,254;0,998;7,694;5,264;40,5061
960,0;9,033;5,229;0,998;8,280;5,240;43,3885
1000,0;9,619;5,112;0,998;8,866;5,123;45,4197
1040,0;10,205;4,849;0,999;9,556;4,854;46,3816
1080,0;10,791;4,453;0,999;10,141;4,458;45,2146
1120,0;11,279;4,170;0,999;10,630;4,175;44,3812
1160,0;11,865;3,599;0,999;11,216;3,604;40,4202
1200,0;12,354;3,101;1,000;11,807;3,101;36,6101
1240,0;12,842;2,358;1,000;12,295;2,358;28,9986
1280,0;13,428;1,499;1,000;12,881;1,499;19,3107
1320,0;13,916;0,952;1,000;13,370;0,952;12,7312
1360,0;14,600;0,874;1,000;14,053;0,874;12,2842
1400,0;15,137;0,840;1,000;14,590;0,840;12,2550
1440,0;15,820;0,796;1,001;15,377;0,791;12,1608
1480,0;16,357;0,762;1,001;15,914;0,757;12,0417
1520,0;16,992;0,723;1,001;16,549;0,718;11,8755
1560,0;17,627;0,679;1,001;17,183;0,674;11,5759
1600,0;18,164;0,645;1,001;17,721;0,639;11,3321
1640,0;18,848;0,601;1,001;18,404;0,596;10,9604
1680,0;19,434;0,571;1,001;18,990;0,566;10,7530
1720,0;20,020;0,532;1,001;19,576;0,527;10,3201
1760,0;20,654;0,493;1,001;20,211;0,488;9,8653
1800,0;21,240;0,464;1,001;20,797;0,459;9,5420
1840,0;21,875;0,430;1,001;21,431;0,425;9,1008
1880,0;22,461;0,400;1,002;22,120;0,390;8,6316
1920,0;23,047;0,371;1,002;22,706;0,361;8,1950
1960,0;23,682;0,337;1,002;23,341;0,327;7,6263
2000,0;24,268;0,308;1,002;23,927;0,297;7,1168
2040,0;25,000;0,283;1,002;24,659;0,273;6,7326
2080,0;25,537;0,259;1,002;25,196;0,249;6,2641
2120,0;26,172;0,225;1,002;25,831;0,214;5,5391
2160,0;26,709;0,200;1,002;26,368;0,190;5,0105
2200,0;27,344;0,176;1,002;27,003;0,166;4,4718
2240,0;28,027;0,142;1,002;27,686;0,131;3,6387
2280,0;28,564;0,127;1,002;28,224;0,117;3,2959
2320,0;29,199;0,103;1,002;28,858;0,092;2,6655
2360,0;29,785;0,083;1,002;29,444;0,073;2,1445
2400,0;30,469;0,059;1,002;30,128;0,048;1,4587
2440,0;31,006;0,044;1,002;30,665;0,034;1,0356
2480,0;31,641;0,024;1,002;31,300;0,014;0,4457
2520,0;32,227;0,029;1,002;31,886;0,019;0,6097
2560,0;32,861;0,020;1,002;32,520;0,009;0,3043
2600,0;33,496;0,029;1,002;33,155;0,019;0,6340
2640,0;34,082;0,024;1,002;33,741;0,014;0,4804
2680,0;34,717;0,024;1,002;34,376;0,014;0,4895
2720,0;35,352;0,034;1,003;35,113;0,019;0,6630
2760,0;35,986;0,020;1,003;35,748;0,004;0,1513
2800,0;36,572;0,034;1,002;36,231;0,024;0,8697
2840,0;37,207;0,020;1,003;36,969;0,004;0,1565
2880,0;37,842;0,029;1,003;37,603;0,014;0,5264
2920,0;38,428;0,024;1,003;38,189;0,009;0,3481
2960,0;39,063;0,015;1,003;38,824;-0,001;-0,0252
3000,0;39,746;0,039;1,003;39,508;0,024;0,9389
3040,0;40,283;0,020;1,003;40,045;0,004;0,1695
3080,0;40,967;0,024;1,003;40,728;0,009;0,3713
3120,0;41,455;0,020;1,003;41,217;0,004;0,1745
3160,0;42,139;0,020;1,003;41,900;0,004;0,1774
3200,0;42,871;0,024;1,003;42,633;0,009;0,3886
3240,0;43,359;0,020;1,003;43,121;0,004;0,1825
3280,0;44,043;0,015;1,003;43,805;-0,001;-0,0284
3320,0;44,580;0,020;1,003;44,342;0,004;0,1877
3360,0;45,313;0,024;1,003;45,074;0,009;0,4109
3400,0;45,850;0,020;1,003;45,611;0,004;0,1931
3440,0;46,436;0,015;1,003;46,197;-0,001;-0,0300
3480,0;47,070;0,010;1,003;46,832;-0,006;-0,2591
3520,0;47,656;0,029;1,003;47,418;0,014;0,6638
3560,0;48,389;0,010;1,004;48,253;-0,011;-0,5136
3600,0;48,926;0,024;1,003;48,687;0,009;0,4438
3640,0;49,609;-0,005;1,003;49,371;-0,020;-0,9963
3680,0;50,195;0,024;1,004;50,059;0,004;0,2004
3720,0;50,732;0,015;1,004;50,596;-0,006;-0,2915
3760,0;51,416;-0,161;1,003;51,178;-0,176;-9,0293
3800,0;51,758;-0,391;1,004;51,622;-0,411;-21,2184
3840,0;51,807;-0,405;1,004;51,671;-0,426;-21,9953
3880,0;51,855;-0,410;1,004;51,719;-0,431;-22,2687
3920,0;51,855;-0,415;1,004;51,719;-0,435;-22,5212
3960,0;51,904;-0,420;1,004;51,768;-0,440;-22,7952
